Total Housing Units,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,Neighbors Mean,Number Stops,num shuttle stops
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,4.0,13,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,5.0,13,0.0
2709.0,2012,1939.0,2005.0,53.1,26.5,0.00036913990402362494,0.005463059313215401,0.8623829344432883,0.08428720083246619,0.003642039542143601,0.0,13,0.0
2696.0,2013,1939.0,2006.0,56.0,24.4,0.001112759643916914,0.0,0.8616944243301955,0.10644460535843593,0.008689355539464157,1.0,13,0.0
2696.0,2014,1939.0,2008.0,7.2,22.5,0.000370919881305638,0.0,0.8575197889182058,0.10378188214599823,0.003298153034300792,4.0,13,0.0
2657.0,2015,1939.0,2010.0,2381.0,21.4,0.0011290929619872036,0.0,0.843493298746217,0.11067877215737136,0.002377864245568525,4.0,13,0.0
2646.0,2016,1939.0,2011.0,2600.0,18.7,0.0007558578987150416,0.0,0.8262322472848789,0.11591478696741855,0.005847953216374269,4.0,13,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,2.0,13,0.0
2609.0,2015,1939.0,2006.5289389067527,1671.0,22.3,0.00038328861632809513,0.028985507246376805,0.7153033652665193,0.1960206337509212,0.0,0.0,9,0.0
2612.0,2016,1939.0,2011.0,1716.0,21.5,0.0003828483920367535,0.02971512770137525,0.7608055009823183,0.13826129666011788,0.0,1.0,9,0.0
1743.0,2014,1939.0,2006.0,8.2,24.1,0.0005737234652897303,0.0003714710252600297,0.9097325408618128,0.07392273402674591,0.0,0.0,8,0.0
2648.0,2011,1939.0,2005.0,40.0,23.8,0.0015105740181268882,0.015116031509474132,0.8499041941664892,0.1038961038961039,0.0034064296359378327,0.0,16,0.0
2619.0,2014,1939.0,2009.0,6.4,21.4,0.0003818251240931654,0.0187433439829606,0.8283280085197018,0.13077742279020235,0.0,0.0,16,0.0
2647.0,2015,1939.0,2011.0,1853.0,20.2,0.0003777861730260672,0.019599666388657216,0.8281901584653878,0.13344453711426188,0.0,1.0,16,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,16,0.0
2111.0,2011,1939.0,2005.0,40.1,25.3,0.000473709142586452,0.005389514943655071,0.7885840274375306,0.12910338069573735,0.0,0.0,14,0.0
