Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075030301,"Census Tract 303.01, San Francisco County, California",8.9,14,22,92,199,156,214,325,422,1111,523,619,518,302,187,178
6075030302,"Census Tract 303.02, San Francisco County, California",9.1,0,0,0,60,33,147,280,367,522,219,344,293,164,151,110
6075030400,"Census Tract 304, San Francisco County, California",6.7,0,25,85,42,118,64,157,369,1176,343,337,505,209,289,217
6075030500,"Census Tract 305, San Francisco County, California",5.1,0,0,0,106,48,79,754,72,10,115,229,269,119,88,195
6075030600,"Census Tract 306, San Francisco County, California",11.7,2,0,0,13,27,56,72,268,461,109,187,212,107,139,40
6075030700,"Census Tract 307, San Francisco County, California",5.4,0,0,10,6,103,559,779,680,658,349,484,644,494,331,341
6075030800,"Census Tract 308, San Francisco County, California",6.9,34,15,26,128,122,80,139,173,1528,357,461,549,294,240,190
6075030900,"Census Tract 309, San Francisco County, California",3.8,10,15,14,41,96,69,226,458,1540,292,623,443,303,360,355
6075031000,"Census Tract 310, San Francisco County, California",7.5,11,0,188,109,34,107,45,19,830,229,200,359,182,148,124
6075031100,"Census Tract 311, San Francisco County, California",3.7,0,0,31,174,127,201,329,438,1322,770,444,556,403,185,166
