Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1969 or earlier
6075032802,"Census Tract 328.02, San Francisco County, California",8.8,0,24,42,8,118,75,91,546,622,211,455,291,119,254,62
6075032901,"Census Tract 329.01, San Francisco County, California",2.5,0,45,10,56,72,23,349,478,822,325,427,436,261,167,193
6075032902,"Census Tract 329.02, San Francisco County, California",4.4,0,0,55,9,8,49,204,722,377,263,397,275,148,170,108
6075033000,"Census Tract 330, San Francisco County, California",5,0,0,78,0,106,148,415,557,1548,540,847,540,317,203,262
6075033100,"Census Tract 331, San Francisco County, California",4.1,0,0,16,0,29,18,809,318,365,173,397,409,238,139,135
6075033201,"Census Tract 332.01, San Francisco County, California",21.9,0,0,38,21,50,78,441,87,44,250,266,43,5,23,6
6075033203,"Census Tract 332.03, San Francisco County, California",7,0,6,26,53,126,101,689,460,134,629,517,219,23,61,35
6075033204,"Census Tract 332.04, San Francisco County, California",4.3,0,9,67,8,45,33,564,741,227,833,253,254,155,95,31
6075035100,"Census Tract 351, San Francisco County, California",3.9,0,15,65,99,205,90,468,1210,758,516,1135,351,308,267,219
6075035201,"Census Tract 352.01, San Francisco County, California",6.9,0,55,9,123,213,181,277,875,245,421,679,319,147,191,85
6075035202,"Census Tract 352.02, San Francisco County, California",7.8,0,57,51,35,201,308,342,315,595,432,751,274,171,98,29
6075035300,"Census Tract 353, San Francisco County, California",0.6,0,0,0,113,27,198,701,1192,362,431,648,619,350,231,298
6075035400,"Census Tract 354, San Francisco County, California",8.2,0,0,61,53,105,199,343,1256,456,246,748,617,199,379,82
6075040100,"Census Tract 401, San Francisco County, California",7.1,0,40,68,108,201,185,169,135,1147,697,553,301,211,47,99
6075040200,"Census Tract 402, San Francisco County, California",10.1,0,31,9,53,243,448,82,207,1541,658,804,386,176,237,90
6075042601,"Census Tract 426.01, San Francisco County, California",5.4,0,9,71,70,178,201,171,247,878,405,705,360,103,72,81
6075042602,"Census Tract 426.02, San Francisco County, California",8,0,76,9,40,47,121,122,85,1053,404,556,173,115,91,90
6075042700,"Census Tract 427, San Francisco County, California",11.7,58,22,84,265,194,423,426,167,995,577,835,517,150,124,123
6075042800,"Census Tract 428, San Francisco County, California",11.7,0,20,7,6,28,60,65,128,717,182,278,159,122,85,84
6075045100,"Census Tract 451, San Francisco County, California",7.3,0,16,30,125,205,164,285,188,1342,640,758,355,121,197,111
6075045200,"Census Tract 452, San Francisco County, California",2.9,0,74,83,237,187,236,217,88,1840,771,1135,389,226,174,181
6075047600,"Census Tract 476, San Francisco County, California",6.2,0,16,0,198,141,97,334,147,1479,470,742,579,147,160,164
6075047701,"Census Tract 477.01, San Francisco County, California",12.6,0,35,54,90,321,211,101,206,1038,257,523,311,326,289,90
6075047702,"Census Tract 477.02, San Francisco County, California",4.8,0,13,21,60,66,118,215,151,1056,317,591,264,163,188,96
6075047801,"Census Tract 478.01, San Francisco County, California",14.2,14,30,30,50,20,77,237,159,1208,451,467,251,99,138,159
6075047802,"Census Tract 478.02, San Francisco County, California",2.3,0,153,44,230,51,85,102,307,673,432,649,168,162,93,103
6075047901,"Census Tract 479.01, San Francisco County, California",6.2,0,51,170,166,95,259,303,599,1146,370,1164,460,218,201,203
6075047902,"Census Tract 479.02, San Francisco County, California",7.2,0,18,20,92,152,147,150,254,812,407,477,259,227,112,45
6075060100,"Census Tract 601, San Francisco County, California",7.5,0,0,8,14,166,199,278,161,491,615,552,0,0,0,51
6075060400,"Census Tract 604, San Francisco County, California",2.2,0,168,113,85,609,88,6,0,11,502,393,88,9,64,0
6075060502,"Census Tract 605.02, San Francisco County, California",12.6,14,26,24,16,80,110,224,443,140,152,557,113,88,21,10
6075060700,"Census Tract 607, San Francisco County, California",5.7,46,4288,514,11,65,0,53,24,0,2274,2334,64,45,0,0
6075061000,"Census Tract 610, San Francisco County, California",4.9,93,711,215,39,90,66,4,145,211,518,639,112,67,113,48
6075061100,"Census Tract 611, San Francisco County, California",10.3,0,104,65,102,182,215,163,108,1298,440,810,461,156,87,53
6075061200,"Census Tract 612, San Francisco County, California",10.2,0,313,40,53,23,45,110,97,577,283,504,186,39,53,65
6075061400,"Census Tract 614, San Francisco County, California",8.5,0,401,91,410,154,160,17,198,1231,901,924,307,139,111,55
6075061500,"Census Tract 615, San Francisco County, California",22.4,258,4692,1519,1251,132,39,67,35,761,2935,3372,445,41,0,0
6075980200,"Census Tract 9802, San Francisco County, California",12.8,0,9,0,0,0,0,5,46,18,18,29,13,4,4,0
6075980300,"Census Tract 9803, San Francisco County, California",0,0,0,0,0,0,13,0,0,28,27,0,14,0,0,0
