Id2,Geography,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075023001,"Census Tract 230.01, San Francisco County, California",0,0,30,27,6,77,50,313,525,406,45,282,360,316,159,171
6075023003,"Census Tract 230.03, San Francisco County, California",0,0,0,51,199,3,45,195,422,353,7,202,382,236,180,183
6075023102,"Census Tract 231.02, San Francisco County, California",0,10,78,195,302,521,35,202,113,111,37,399,527,239,171,194
6075023103,"Census Tract 231.03, San Francisco County, California",0,22,47,55,82,212,264,147,258,34,0,293,517,190,45,0
6075023200,"Census Tract 232, San Francisco County, California",0,0,43,0,47,18,164,227,254,596,0,476,342,208,78,149
6075023300,"Census Tract 233, San Francisco County, California",0,192,202,284,28,39,50,32,71,148,15,500,185,173,32,44
6075023400,"Census Tract 234, San Francisco County, California",0,0,46,194,23,71,37,161,135,356,13,163,376,182,29,98
6075025100,"Census Tract 251, San Francisco County, California",0,0,45,31,156,195,162,135,97,584,97,276,393,259,228,147
6075025200,"Census Tract 252, San Francisco County, California",0,0,31,49,16,113,136,185,241,1535,150,584,648,202,311,222
6075025300,"Census Tract 253, San Francisco County, California",0,0,94,97,125,50,86,153,70,1252,92,575,481,228,182,176
6075025401,"Census Tract 254.01, San Francisco County, California",0,0,34,78,37,56,50,82,175,898,8,468,428,281,95,27
6075025402,"Census Tract 254.02, San Francisco County, California",0,0,0,13,19,11,42,305,242,516,41,293,316,120,192,155
6075025403,"Census Tract 254.03, San Francisco County, California",0,9,132,76,79,94,53,81,390,658,20,439,516,226,90,156
6075025500,"Census Tract 255, San Francisco County, California",0,0,107,26,73,163,25,179,370,1798,108,567,912,506,207,441
6075025600,"Census Tract 256, San Francisco County, California",0,31,11,42,37,163,178,244,476,537,17,289,461,390,117,324
6075025701,"Census Tract 257.01, San Francisco County, California",0,25,38,50,8,168,75,218,554,348,0,198,462,323,201,291
6075025702,"Census Tract 257.02, San Francisco County, California",0,0,18,61,101,111,95,172,218,571,10,246,432,253,152,124
6075025800,"Census Tract 258, San Francisco County, California",0,13,24,11,21,40,74,66,158,239,10,189,165,115,39,101
6075025900,"Census Tract 259, San Francisco County, California",0,0,85,57,106,102,315,686,100,60,22,463,421,243,86,269
6075026001,"Census Tract 260.01, San Francisco County, California",0,0,43,8,71,59,186,164,112,1034,36,292,556,330,152,200
6075026002,"Census Tract 260.02, San Francisco County, California",0,6,41,13,38,36,86,343,93,374,20,223,234,229,106,172
6075026003,"Census Tract 260.03, San Francisco County, California",0,10,22,6,24,71,68,278,243,724,0,291,509,155,205,235
6075026004,"Census Tract 260.04, San Francisco County, California",10,0,16,18,39,63,44,163,166,757,33,221,531,254,80,157
6075026100,"Census Tract 261, San Francisco County, California",0,0,59,179,48,43,115,251,357,950,38,402,754,419,95,285
6075026200,"Census Tract 262, San Francisco County, California",0,0,45,106,139,91,254,233,271,979,12,428,673,345,281,264
6075026301,"Census Tract 263.01, San Francisco County, California",0,0,58,23,11,84,44,123,132,946,44,269,495,234,154,210
6075026302,"Census Tract 263.02, San Francisco County, California",0,0,52,216,51,22,174,280,224,521,30,310,326,419,196,252
6075026303,"Census Tract 263.03, San Francisco County, California",0,0,0,66,126,138,201,155,267,393,6,322,331,228,125,204
6075026401,"Census Tract 264.01, San Francisco County, California",0,0,10,86,42,105,88,210,291,250,0,228,313,152,195,173
6075026402,"Census Tract 264.02, San Francisco County, California",0,10,65,32,74,142,150,206,214,333,53,234,373,272,122,140
6075026403,"Census Tract 264.03, San Francisco County, California",0,0,27,66,79,118,227,249,201,207,14,348,221,216,169,83
6075026404,"Census Tract 264.04, San Francisco County, California",0,6,108,57,18,35,140,124,205,28,5,156,295,121,82,41
6075030101,"Census Tract 301.01, San Francisco County, California",0,0,43,128,30,157,66,148,161,1502,111,885,541,329,125,123
6075030102,"Census Tract 301.02, San Francisco County, California",0,0,24,129,104,462,705,326,13,634,43,901,660,193,132,313
6075030201,"Census Tract 302.01, San Francisco County, California",0,0,16,8,76,194,175,302,259,952,56,851,414,302,104,180
6075030202,"Census Tract 302.02, San Francisco County, California",0,17,93,56,69,158,189,279,215,1122,61,940,574,322,137,115
6075030301,"Census Tract 303.01, San Francisco County, California",0,9,20,80,210,310,246,357,513,851,99,627,724,426,240,245
6075030302,"Census Tract 303.02, San Francisco County, California",0,0,0,40,55,18,88,187,397,695,26,296,412,311,222,197
6075030400,"Census Tract 304, San Francisco County, California",0,0,53,10,64,147,116,263,272,1127,30,469,616,303,241,308
6075030500,"Census Tract 305, San Francisco County, California",0,0,17,61,72,47,201,523,72,76,17,262,286,192,114,169
6075030600,"Census Tract 306, San Francisco County, California",0,0,18,2,13,4,22,101,162,581,19,116,239,200,136,168
6075030700,"Census Tract 307, San Francisco County, California",0,12,26,28,36,195,512,783,629,589,166,499,730,516,291,450
6075030800,"Census Tract 308, San Francisco County, California",0,0,18,67,96,115,18,110,204,1792,62,442,554,463,310,429
6075030900,"Census Tract 309, San Francisco County, California",0,0,12,55,11,86,68,332,249,1662,13,326,793,392,262,557
6075031000,"Census Tract 310, San Francisco County, California",0,16,18,10,181,0,46,111,25,960,20,340,358,156,166,262
6075031100,"Census Tract 311, San Francisco County, California",0,0,0,77,238,106,292,278,341,1335,68,590,825,308,276,421
6075031201,"Census Tract 312.01, San Francisco County, California",0,113,16,96,136,134,154,68,179,1170,31,614,547,424,211,156
6075031202,"Census Tract 312.02, San Francisco County, California",0,22,5,47,57,20,40,104,182,442,4,212,252,166,131,97
6075031301,"Census Tract 313.01, San Francisco County, California",0,0,0,21,7,56,92,266,439,486,41,289,413,234,105,232
6075031302,"Census Tract 313.02, San Francisco County, California",0,9,435,28,76,66,109,349,716,210,23,616,606,270,154,273
6075031400,"Census Tract 314, San Francisco County, California",0,0,97,33,67,93,177,262,605,647,9,393,766,194,285,214
6075032601,"Census Tract 326.01, San Francisco County, California",0,0,8,66,61,240,98,81,427,924,48,493,620,350,93,224
6075032602,"Census Tract 326.02, San Francisco County, California",0,0,68,17,19,43,189,266,269,920,34,512,538,251,207,176
6075032700,"Census Tract 327, San Francisco County, California",0,0,0,0,11,180,130,157,728,1416,45,671,537,593,154,461
6075032801,"Census Tract 328.01, San Francisco County, California",0,0,0,36,41,60,57,165,305,914,27,404,421,189,159,260
6075032802,"Census Tract 328.02, San Francisco County, California",0,0,56,13,50,41,82,161,547,648,87,348,481,243,169,216
6075032901,"Census Tract 329.01, San Francisco County, California",0,0,27,10,45,83,20,297,542,850,39,424,327,384,346,299
6075032902,"Census Tract 329.02, San Francisco County, California",0,0,0,65,9,72,73,192,699,329,0,323,382,311,158,211
6075033000,"Census Tract 330, San Francisco County, California",0,10,0,81,44,95,174,454,480,1553,134,611,792,514,211,448
6075033100,"Census Tract 331, San Francisco County, California",0,0,0,15,4,29,10,809,290,399,9,164,406,345,206,333
6075033201,"Census Tract 332.01, San Francisco County, California",0,0,0,60,103,64,32,407,76,19,104,262,199,42,17,16
6075033203,"Census Tract 332.03, San Francisco County, California",0,0,36,37,98,115,122,469,629,104,81,764,396,213,68,64
6075033204,"Census Tract 332.04, San Francisco County, California",0,0,14,62,11,114,37,459,768,224,125,697,269,261,95,144
6075035100,"Census Tract 351, San Francisco County, California",0,0,27,18,82,273,149,320,1308,743,194,842,636,393,296,488
6075035201,"Census Tract 352.01, San Francisco County, California",0,0,31,39,84,167,137,332,902,330,60,496,555,353,169,327
6075035202,"Census Tract 352.02, San Francisco County, California",0,0,31,50,129,176,301,355,352,528,44,639,609,263,143,136
6075035300,"Census Tract 353, San Francisco County, California",0,0,0,0,100,61,162,712,1189,370,34,503,647,627,344,439
6075035400,"Census Tract 354, San Francisco County, California",0,0,0,27,51,39,196,501,1227,553,51,361,632,674,252,544
6075040100,"Census Tract 401, San Francisco County, California",0,0,39,10,132,214,280,139,58,1175,44,868,456,319,156,103
6075040200,"Census Tract 402, San Francisco County, California",0,0,0,11,74,377,191,132,217,1615,95,905,576,320,216,321
6075042601,"Census Tract 426.01, San Francisco County, California",0,0,59,100,76,202,188,142,153,972,46,668,486,280,105,203
