Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075031202,"Census Tract 312.02, San Francisco County, California",2884,599,521,0,1572,0
6075031301,"Census Tract 313.01, San Francisco County, California",3894,895,656,0,1619,0
6075031302,"Census Tract 313.02, San Francisco County, California",6058,1143,1266,0,3068,0
6075031400,"Census Tract 314, San Francisco County, California",6133,1596,1546,19,2649,0
6075032601,"Census Tract 326.01, San Francisco County, California",4361,1646,14,48,2483,0
6075032602,"Census Tract 326.02, San Francisco County, California",4498,1196,0,0,3152,0
6075032700,"Census Tract 327, San Francisco County, California",6669,2582,22,0,3697,8
6075032801,"Census Tract 328.01, San Francisco County, California",4585,1679,24,0,2801,0
6075032802,"Census Tract 328.02, San Francisco County, California",3982,1178,97,0,2574,0
6075032901,"Census Tract 329.01, San Francisco County, California",5636,1869,100,0,3376,0
6075032902,"Census Tract 329.02, San Francisco County, California",3612,1102,0,27,2431,0
6075033000,"Census Tract 330, San Francisco County, California",7978,3577,151,20,3727,66
6075033100,"Census Tract 331, San Francisco County, California",3819,1566,0,0,2163,0
6075033201,"Census Tract 332.01, San Francisco County, California",3437,1808,344,12,774,0
6075033203,"Census Tract 332.03, San Francisco County, California",3161,1643,149,3,980,84
6075033204,"Census Tract 332.04, San Francisco County, California",3632,1633,300,67,1356,0
6075035100,"Census Tract 351, San Francisco County, California",8025,2653,0,0,4797,0
6075035201,"Census Tract 352.01, San Francisco County, California",5109,1901,5,6,2950,151
6075035202,"Census Tract 352.02, San Francisco County, California",4420,2204,64,9,1914,33
6075035300,"Census Tract 353, San Francisco County, California",7862,2346,0,0,5206,0
6075035400,"Census Tract 354, San Francisco County, California",6366,2852,93,0,2934,226
6075040100,"Census Tract 401, San Francisco County, California",4484,2297,348,84,1412,0
6075040200,"Census Tract 402, San Francisco County, California",5428,2450,40,11,2529,0
6075042601,"Census Tract 426.01, San Francisco County, California",3722,1584,51,0,1729,13
6075042602,"Census Tract 426.02, San Francisco County, California",3684,1787,71,0,1680,62
6075042700,"Census Tract 427, San Francisco County, California",6008,3372,16,18,2277,48
6075042800,"Census Tract 428, San Francisco County, California",2383,1736,15,0,422,19
6075045100,"Census Tract 451, San Francisco County, California",4592,2000,75,34,2253,0
6075045200,"Census Tract 452, San Francisco County, California",6476,2843,42,37,3031,54
6075047600,"Census Tract 476, San Francisco County, California",5356,2421,16,18,2698,14
6075047701,"Census Tract 477.01, San Francisco County, California",3956,1217,73,16,1986,66
6075047702,"Census Tract 477.02, San Francisco County, California",4017,1703,28,6,2056,0
6075047801,"Census Tract 478.01, San Francisco County, California",3995,1562,53,0,2037,10
6075047802,"Census Tract 478.02, San Francisco County, California",4551,1369,139,0,2824,0
6075047901,"Census Tract 479.01, San Francisco County, California",6698,2883,313,47,2925,18
6075047902,"Census Tract 479.02, San Francisco County, California",3709,1774,19,0,1615,0
6075060100,"Census Tract 601, San Francisco County, California",2864,2304,122,51,205,0
6075060400,"Census Tract 604, San Francisco County, California",2813,1545,184,0,844,0
6075060502,"Census Tract 605.02, San Francisco County, California",2870,618,1054,158,831,41
6075060700,"Census Tract 607, San Francisco County, California",6032,2857,189,0,2482,0
6075061000,"Census Tract 610, San Francisco County, California",3071,737,670,0,1388,138
6075061100,"Census Tract 611, San Francisco County, California",4364,274,36,0,4001,32
6075061200,"Census Tract 612, San Francisco County, California",3503,1044,938,0,944,0
6075061400,"Census Tract 614, San Francisco County, California",5663,3162,976,184,661,165
6075061500,"Census Tract 615.00, San Francisco County, California",9949,5878,595,74,2845,50
6075980200,"Census Tract 9802, San Francisco County, California",299,185,28,0,20,0
6075980300,"Census Tract 9803, San Francisco County, California",30,0,0,0,9,0
6075980401,"Census Tract 9804.01, San Francisco County, California",0,0,0,0,0,0
6075980501,"Census Tract 9805.01, San Francisco County, California",743,313,60,0,266,0
6075980600,"Census Tract 9806, San Francisco County, California",305,47,218,0,10,0
6075980900,"Census Tract 9809, San Francisco County, California",332,190,49,0,79,0
6075990100,"Census Tract 9901, San Francisco County, California",0,0,0,0,0,0
